sender_center_id,9,8,7,6,5,4,3,2,1
9,,997.78,592.74,7519.04,6640.91,6179.88,3786.96,2502.69,3260.08
8,997.78,,1024.13,6509.18,5653.0,5191.98,2799.06,1514.78,2272.18
7,592.74,1024.13,,7519.04,6662.86,6201.84,3808.92,2524.64,3775.99
6,7519.04,6509.18,7519.04,,857.28,1372.09,4280.91,5927.42,4258.96
5,6640.91,5653.0,6662.86,857.28,,1514.78,3424.73,5071.24,4401.66
4,6179.88,5191.98,6201.84,1372.09,1514.78,,3578.41,3545.47,2886.87
3,3786.96,2799.06,3808.92,4280.91,3424.73,3578.41,,2052.64,2766.13
2,2502.69,1514.78,2524.64,5927.42,5071.24,3545.47,2052.64,,2052.64
1,3260.08,2272.18,3775.99,4258.96,4401.66,2886.87,2766.13,2052.64,
